event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes
2016-09-08,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Bethlehem,31.7049,35.2038,"Thursday 8th of Sep 2016, it was reported that Israeli settlers deliberately ran over and injured a Palestinian farmer on Route 60 in Bethlehem district."
2016-09-10,Settlers (Israel),,Civilians (Palestine),Women (Palestine),1.0,Political militia-Civilians,West Bank,Bethlehem,31.6941,35.1669,"Saturday 10th of Sep 2016, a Palestinian girl was killed after being run over by Israeli settler in the village of al-Khader south of Bethlehem."
2016-09-26,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1845,35.2502,"On 26 September 2016, Israeli settlers burned down a Palestinian house under construction in Burin village."
2016-10-10,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.0709,35.294,"On Monday October 10, some Palestinians harvesting olives near the village of Qaryout, south of Nablus were attacked by dozens of settlers who smashed the windshields of their vehicles."
2016-10-16,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.2211,35.2544,"On Sunday October 16, some Palestinians harvesting olives near Nablus were attacked with stones by dozens of settlers. No injuries were reported."
2016-10-16,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Tubas,32.3646,35.5036,"Land seizure: On 16 October 2016, Israeli settlers established the Mehula West (Shirat HaAshavim) outpost (Tubas, West Bank) on Palestinian-owned land."
2016-10-22,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.2173,35.3213,"Property destruction: On 22 October 2016, Israeli settlers bulldozed private Palestinian lands in Dayr al Hatab, to expand an Israeli settlement."
2016-10-25,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5283,35.1189,"Tuesday 25th of October 2016, an Israeli settler in a car ran over a Palestinian family of three members in the occupied West Bank at the entrance of the Qiryat Arba, leaving them injured. This was believed to be an intentional attack."
2016-11-01,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Al Quds,31.7767,35.2342,"On 1 November 2016, a Palestinian civilian was run over by an Israeli settler in an alleged attack in the Bab al-Amud area of the Old City, Al Quds, West Bank. The victim was critically injured in the attack."
2016-11-05,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.9385,35.1214,"Saturday 5th of Nov 2016, three Palestinian farmers were wounded, after being attacked by Israeli settlers while they were picking olives on their land in the village of al-Janiya in the central occupied West Bank district of Ramallah."
